Bank of Baroda,BARB0BHABHU,,"Bhabhua, Kaimur, Bihar","Patel Chowk, Chainpur Road, Bhabhua, Kaimur, Bihar - 821101",1800223344.0,Bhabua,Kaimur,Bihar,
Bank of Baroda,BARB0BHABHI,311012504,"Bhagwanpura, Rajasthan","Bhagwanpura, Bhilwara, Rajasthan - 311032",1800223344.0,Bhagwanpura,Bhilwara,Rajasthan,
Bank of Baroda,BARB0BHABHA,321012002,Bharatpur Branch,"Bharatpur Branch, Nai Mandi, Station Road, Bharatpur, Bharatpur - 322001",1800223344.0,Bharatpur,Bharatpur,Rajasthan,
Bank of Baroda,BARB0BHABAN,755012103,"Bhabaniganj, Jajpur","Bhabaniganj, At Post Office Jajpur Town, Jajpur, Orissa - 755007",1800223344.0,Jajpur Town,Jajpur,Odisha,
Bank of Baroda,BARB0BARRAB,208012032,Barra Byepas Branch,"Barra Byepas Branch, Plot No 55, Chandel Market, Barra-2 - 208027",1800223344.0,Kanpur,Kanpur Nagar,Uttar Pradesh,
Bank of Baroda,BARB0BADABA,,Badabazar,"Venkateswar Temple Road, Badabazar, Brahmapur, Ganjam, Orissa - 760002",1800223344.0,Brahmapur,Ganjam,Odisha,
Bank of Baroda,BARB0BABRAX,365012503,"Babra BR., Amreli, Gujarat","Plot No 9, Bhagwat Para, Near Bus Stand, Opp Govt. Hospital, Rajkot Bhavnagar Highway, Amreli, Gujarat - 365421",1800223344.0,Babra,Amreli,Gujarat,
Bank of Baroda,BARB0BABRAL,243012551,"Tata, Babrala, Budaun","Tcl Complex, Indira Dham, Babrala, Badaun, UP - 242021",1800223344.0,Babrala,Budaun,Uttar Pradesh,
Bank of Baroda,BARB0ANWABS,276012051,"Anwak, UP","Anwak Sirsar, Azamgarh, Uttar Pradesh - 276207",1800223344.0,Avak,Azamgarh,Uttar Pradesh,
Bank of Baroda,BARB0ANPABS,231012151,"Anpara, UP","Anapara, Bairak No B-5-6, Sonebhadra, Uttar Pradesh - 231225",1800223344.0,Anapara,Sonbhadra,Uttar Pradesh,
Bank of Baroda,BARB0AMINAB,226012004,Aminabad Branch,"Aminabad Branch, 443, Ganga Prasad Road, Post Office Box No 227, Aminabad, Lucknow - 226001",1800223344.0,Lucknow,Lucknow,Uttar Pradesh,
Bank of Baroda,BARB0ALIYAB,,"Aliyabada, Gujarat","Near Bus Stand, Aliayabada, Gujarat",1800223344.0,Aliabada,Jamnagar,Gujarat,
Bank of Baroda,BARB0AKHABA,,Akhabarnagar,Millenium Plaza Akhabarnagar Circle Nava Wadaj Ahmedabad Gujarat - 380013,1800223344.0,Ahmedabad,Ahmadabad,Gujarat,
Bank of Baroda,BARB0AKBABU,203012051,"Akbarpur BR, Bulandshahr, U.P","Bhood Chowraha, Akbarpur, Bulandshahar, Uttar Pradesh - 203001",1800223344.0,Akbarpur,Bulandshahr,Uttar Pradesh,
Bank of Baroda,BARB0AJUHAB,211012501,"Ajuha Bazar, Kaushambi, UP","G.T.Road, P.O.Ajuha Bazar, Kaushambi, Uttar Pradesh - 212215",1800223344.0,Ajuhwa Bazar,Kaushambi,Uttar Pradesh,
Bank of Baroda,BARB0AJABPU,,Ajabpur Kalan,Bank of Baroda Amber Arcade Mothro Road Dehradun Uttarakhand - 248001,1800223344.0,Dehradun,Dehradun,Uttarakhand,
Bank of Baroda,BARB0AHRABS,231012051,"Ahraura, UP","Chowk Bazar, Ahraura, Ro Varanasi, UP",1800223344.0,Ahraura,Mirzapur,Uttar Pradesh,
Bank of Baroda,BARB0AGRABS,282012009,"Kamla Nagar, Agra","D-504, Kamla Nagar, Agra - 282005",1800223344.0,Agra,Agra,Uttar Pradesh,
Bank of Baroda,BARB0ADILAB,,Adilabad,74 Girls High School Bhukthapur Adilabad Andhra Pradesh - 504001,1800223344.0,Adilabad,Adilabad,Andhra Pradesh,
Bank of Baroda,BARB0ADAJAB,482012004,"Adarsh Nagar, Jabalpur","Bank of Baroda, 2689-2690 Palipathar, Gwari Ghat, Narmada Road, Adarsh Nagar, Jabalpur, Madhya Pradesh - 482008",1800223344.0,Jabalpur,Jabalpur,Madhya Pradesh,
Bank of Baroda,BARB0ABUXXX,307012050,Mount Abu Sirohi,"Mt.Abu, Sirohi - 307501",1800223344.0,Mount Abu,Sirohi,Rajasthan,
Bank of Baroda,BARB0ABRSUR,,Abrama,"Abrama, Tal Kamrej, Surat, Gujarat - 394150",1800223344.0,Kamrej,Cuttack,Odisha,
Bank of Baroda,BARB0ABROAD,307012025,"Abu Road, Sirohi","Abu Road, Sirohi - 387026",1800223344.0,Abu Road,Sirohi,Rajasthan,
Bank of Baroda,BARB0ABRBUL,396012007,"Abrama BR., Valsad, Gujarat","No 16/2981 Dharampur Road, Valsad, Gujarat - 396001",1800223344.0,Bulsar,Valsad,Gujarat,
Bank of Baroda,BARB0ABRAMA,396012509,"Abrama, Navsari","AT Post Office :Abrama, Ta.:Jalalpore, Navsari, Gujarat - 396406",1800223344.0,Abrama,Navsari,Gujarat,
Bank of Baroda,BARB0ABOHAR,152012302,"Abohar, Ferozpur","St.No 9, Abohar Ferozpur - 152116",1800223344.0,Abohar,Ferozepur,Punjab,
